IATA Code	ICAO Code	Airport Name	City Name	Country Code	Country Name	Number of Runways																																																																																																																																																																																																																																																									
JPA	SBJP	PRESIDENTE CASTRO PINTO INTL	Joao Pessoa	BRA	Brazil	1																																																																																																																																																																																																																																																									
JOI	SBJV	LAURO CARNEIRO DE LOYOLA	Joinville	BRA	Brazil	1																																																																																																																																																																																																																																																									
JUA	SIZX	INACIO LUIS DO NASCIMENTO	Juara	BRA	Brazil	1																																																																																																																																																																																																																																																									
JDO	SBJU	ORLANDO BEZERRA DE MENEZES	Juazeiro do Norte	BRA	Brazil	1																																																																																																																																																																																																																																																									
JIA	SWJN	JUINA	Juina	BRA	Brazil	1																																																																																																																																																																																																																																																									
BVH	SBVH	VILHENA	Juina	BRA	Brazil	1																																																																																																																																																																																																																																																									
JDF	SBJF	FRANCISCO ALVARES DE ASSIS	Juiz de Fora	BRA	Brazil	1																																																																																																																																																																																																																																																									
IZA	SBZM	PRESIDENTE ITAMAR FRANCO	Juiz de Fora/Goiana	BRA	Brazil	1																																																																																																																																																																																																																																																									
JRN	SWJU	JURUENA	Juruena	BRA	Brazil	1																																																																																																																																																																																																																																																									
LBR	SWLB	LABREA	Labrea	BRA	Brazil	1																																																																																																																																																																																																																																																									
LAJ	SBLJ	LAGES	Lages	BRA	Brazil	1																																																																																																																																																																																																																																																									
LEC	SBLE	HORACIO DO MATTOS	Lencois	BRA	Brazil	1																																																																																																																																																																																																																																																									
LDB	SBLO	GOVERNADOR JOSE RICHA	Londrina	BRA	Brazil	1																																																																																																																																																																																																																																																									
MEA	SBME	MACAE	Macae	BRA	Brazil	1																																																																																																																																																																																																																																																									
MCP	SBMQ	ALBERTO ALCOLUMBRE	Macapa	BRA	Brazil	1																																																																																																																																																																																																																																																									
MCZ	SBMO	ZUMBI DOS PALMARES	Maceio	BRA	Brazil	1																																																																																																																																																																																																																																																									
MAO	SBEG	EDUARDO GOMES INTL	Manaus	BRA	Brazil	1																																																																																																																																																																																																																																																									
MAB	SBMA	JOAO CORREA DA ROCHA	Maraba	BRA	Brazil	1																																																																																																																																																																																																																																																									
MII	SBML	FRANK MILOYE MILENKOVICH	Marilia	BRA	Brazil	1																																																																																																																																																																																																																																																									
MGF	SBMG	SILVIO NAME JUNIOR	Maringa	BRA	Brazil	1																																																																																																																																																																																																																																																									
MBK	SWXM	ORLANDO VILLAS BOAS RGNL	Matupa	BRA	Brazil	1																																																																																																																																																																																																																																																									
MQH	SWIQ	MINACU	Minacu	BRA	Brazil	1																																																																																																																																																																																																																																																									
MTE	SNMA	MONTE ALEGRE	Monte Alegre	BRA	Brazil	1																																																																																																																																																																																																																																																									
MEU	SBMD	SERRA DO AREAO	Monte Dourado	BRA	Brazil	1																																																																																																																																																																																																																																																									
MOC	SBMK	MARIO RIBEIRO	Montes Claros	BRA	Brazil	1																																																																																																																																																																																																																																																									
MVF	SBMS	DIX SEPT ROSADO	Mossoro	BRA	Brazil	1																																																																																																																																																																																																																																																									
MVS	SNMU	MUCURI	Mucuri	BRA	Brazil	1																																																																																																																																																																																																																																																									
NAT	SBSG	GOVERNADOR ALUIZIO ALVES INTL	Natal	BRA	Brazil	1																																																																																																																																																																																																																																																									
NVT	SBNF	MINISTRO VICTOR KONDER INTL	Navegantes	BRA	Brazil	1																																																																																																																																																																																																																																																									
NQL	SWNQ	NIQUELANDIA	Niquelandia	BRA	Brazil	1																																																																																																																																																																																																																																																									
OBI	SBTI	OBIDOS	Obidos	BRA	Brazil	1																																																																																																																																																																																																																																																									
OYK	SBOI	OIAPOQUE	Oiapoque	BRA	Brazil	1																																																																																																																																																																																																																																																									
ORX	SNOX	ORIXIMINA	Oriximina	BRA	Brazil	1																																																																																																																																																																																																																																																									
PMW	SBPJ	BRIGADEIRO LYSIAS RODRIGUES	Palmas	BRA	Brazil	1																																																																																																																																																																																																																																																									
CKS	SBCJ	CARAJAS	Parauapebas	BRA	Brazil	1																																																																																																																																																																																																																																																									
PIN	SWPI	JULIO BELEM	Parintins	BRA	Brazil	1																																																																																																																																																																																																																																																									
PHB	SBPB	PREFEITO DOUTOR JOAO SILVA FILHO	Parnaiba	BRA	Brazil	1																																																																																																																																																																																																																																																									
PFB	SBPF	LAURO KURTZ	Passo Fundo	BRA	Brazil	1																																																																																																																																																																																																																																																									
PTO	SBPO	JUVENAL LOUREIRO CARDOSO	Pato Branco	BRA	Brazil	1																																																																																																																																																																																																																																																									
POJ	SNPD	PATOS DE MINAS	Patos de Minas	BRA	Brazil	1																																																																																																																																																																																																																																																									
PAV	SBUF	PAULO AFONSO	Paulo Afonso	BRA	Brazil	1																																																																																																																																																																																																																																																									
PET	SBPK	PELOTAS INTL	Pelotas	BRA	Brazil	2																																																																																																																																																																																																																																																									
PNZ	SBPL	SENADOR NILO COELHO	Petrolina	BRA	Brazil	1																																																																																																																																																																																																																																																									
PGZ	SSZW	COMANDANTE ANTONIO AMILTON BERALDO	Ponta Grossa	BRA	Brazil	1																																																																																																																																																																																																																																																									
POA	SBPA	SALGADO FILHO	Porto Alegre	BRA	Brazil	1																																																																																																																																																																																																																																																									
PTQ	SNMZ	PORTO DE MOZ	Porto de Moz	BRA	Brazil	1																																																																																																																																																																																																																																																									
BPS	SBPS	PORTO SEGURO	Porto Seguro	BRA	Brazil	1																																																																																																																																																																																																																																																									
TMT	SBTB	PORTO TROMBETAS	Porto Trombetas	BRA	Brazil	1																																																																																																																																																																																																																																																									
PVH	SBPV	GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA	Porto Velho	BRA	Brazil	1																																																																																																																																																																																																																																																									
PPB	SBDN	PRESIDENTE PRUDENTE	President Prudente	BRA	Brazil	1																																																																																																																																																																																																																																																									
REC	SBRF	GUARARAPES GILBERTO FREYRE INTL	Recife	BRA	Brazil	1																																																																																																																																																																																																																																																									
REZ	SDRS	RESENDE	Resende	BRA	Brazil	1																																																																																																																																																																																																																																																									
RAO	SBRP	LEITE LOPES	Ribeirao Preto	BRA	Brazil	1																																																																																																																																																																																																																																																									
RBR	SBRB	PLACIDO DE CASTRO	Rio Branco	BRA	Brazil	1																																																																																																																																																																																																																																																									
GIG	SBGL	GALEAO ANTONIO CARLOS JOBIM INTL	Rio de Janeiro	BRA	Brazil	2																																																																																																																																																																																																																																																									
SDU	SBRJ	SANTOS DUMONT	Rio de Janeiro	BRA	Brazil	2																																																																																																																																																																																																																																																									
RIG	SBRG	RIO GRANDE RGNL	Rio Grande	BRA	Brazil	1																																																																																																																																																																																																																																																									
RVD	SWLC	GENERAL LEITE DE CASTRO	Rio Verde	BRA	Brazil	1																																																																																																																																																																																																																																																									
ROO	SWRD	MAESTRO MARINHO FRANCO	Rondonopolis	BRA	Brazil	1																																																																																																																																																																																																																																																									
SSA	SBSV	DEPUTADO LUIS EDUARDO MAGALHAES INTL	Salvador	BRA	Brazil	2																																																																																																																																																																																																																																																									
RIA	SBSM	SANTA MARIA	Santa Maria (BR)	BRA	Brazil	4																																																																																																																																																																																																																																																									
SRA	SSZR	LUIS ALBERTO LEHR	Santa Rosa (BR)	BRA	Brazil	1																																																																																																																																																																																																																																																									
LVB	SSLI	GALPOES	Santana do Livramento	BRA	Brazil	1																																																																																																																																																																																																																																																									
STM	SBSN	MAESTRO WILSON FONSECA	Santarem	BRA	Brazil	1																																																																																																																																																																																																																																																									
GEL	SBNM	SEPE TIARAJU	Santo Angelo	BRA	Brazil	1																																																																																																																																																																																																																																																									
QSC	SDSC	MARIO PEREIRA LOPES SAO CARLOS INTL	Sao Carlos	BRA	Brazil	1																																																																																																																																																																																																																																																									
SJL	SBUA	SAO GABRIEL DA CACHOEIRA	Sao Gabriel Cachoeira	BRA	Brazil	1																																																																																																																																																																																																																																																									
SJP	SBSR	SAO JOSE DO RIO PRETO	Sao Jose do Rio Preto	BRA	Brazil	1																																																																																																																																																																																																																																																									
SJK	SBSJ	PROFESSOR URBANO ERNESTO STUMPF	Sao Jose Dos Campos	BRA	Brazil	1																																																																																																																																																																																																																																																									
SLZ	SBSL	MARECHAL CUNHA MACHADO INTL	Sao Luiz	BRA	Brazil	2																																																																																																																																																																																																																																																									
GRU	SBGR	GUARULHOS GOV ANDRE FRANCO MONTORO	Sao Paulo	BRA	Brazil	2																																																																																																																																																																																																																																																									
CGH	SBSP	SAO PAULO CONGONHAS	Sao Paulo	BRA	Brazil	2																																																																																																																																																																																																																																																									
OPS	SWSI	PRESIDENT JOAO FIGUEIREDO	Sinop (BR)	BRA	Brazil	1																																																																																																																																																																																																																																																									
SOD	SDCO	BERTRAM LUIZ LEUPOLZ SOROCABA STATE	Sorocaba	BRA	Brazil	1																																																																																																																																																																																																																																																									
SMT	SBSO	REGIONAL DE SORRISO ADOLINO BEDIN	Sorriso	BRA	Brazil	1																																																																																																																																																																																																																																																									
TBT	SBTT	TABATINGA	Tabatinga	BRA	Brazil	1																																																																																																																																																																																																																																																									
TFF	SBTF	TEFE	Tefe	BRA	Brazil	1																																																																																																																																																																																																																																																									
TXF	SNTF	9 DE MAIO	Teixeira de Freitas	BRA	Brazil	1																																																																																																																																																																																																																																																									
THE	SBTE	SENADOR PETRONIO PORTELLA	Teresina	BRA	Brazil	1																																																																																																																																																																																																																																																									
TOW	SBTD	LUIS DAL CANALLE FILHO	Toledo	BRA	Brazil	1																																																																																																																																																																																																																																																									
TJL	SBTG	PLINO ALARCOM	Tres Lagoas	BRA	Brazil	1																																																																																																																																																																																																																																																									
TUR	SBTU	TUCURUI	Tucurui	BRA	Brazil	1																																																																																																																																																																																																																																																									
UBA	SBUR	MARIO DE ALMEIDA FRANCO	Uberaba	BRA	Brazil	1																																																																																																																																																																																																																																																									
UDI	SBUL	TEN CEL AV CESAR BOMBONATO	Uberlandia	BRA	Brazil	1																																																																																																																																																																																																																																																									
URG	SBUG	RUBEM BERTA	Uruguaiana	BRA	Brazil	1																																																																																																																																																																																																																																																									
VAG	SBVG	MAJOR BRIGADEIRO TROMPOWSKY	Varginha	BRA	Brazil	1																																																																																																																																																																																																																																																									
VIA	SSVI	ANGELO PONZONI MUNICIPAL	Videira	BRA	Brazil	1																																																																																																																																																																																																																																																									
VIX	SBVT	EURICO DE AGUIAR SALLES	Vitoria (BR)	BRA	Brazil	2																																																																																																																																																																																																																																																									
VDC	SBQV	VITORIA DA CONQUISTA	Vitoria Da Conquista	BRA	Brazil	1																																																																																																																																																																																																																																																									
XIQ	SNXQ	XIQUE XIQUE	Xique-Xique	BRA	Brazil	1																																																																																																																																																																																																																																																									
BWN	WBSB	BRUNEI INTL	Bandar Seri Begawan	BRN	Brunei Darussalam	1																																																																																																																																																																																																																																																									
BOJ	LBBG	BURGAS	Burgas	BGR	Bulgaria	1																																																																																																																																																																																																																																																									
PDV	LBPD	PLOVDIV	Plovdiv	BGR	Bulgaria	1																																																																																																																																																																																																																																																									
SOF	LBSF	SOFIA	Sofia	BGR	Bulgaria	1																																																																																																																																																																																																																																																									
VAR	LBWN	VARNA	Varna	BGR	Bulgaria	1																																																																																																																																																																																																																																																									
BOY	DFOO	BOBO DIOULASSO	Bobo Dioulasso	BFA	Burkina Faso	1																																																																																																																																																																																																																																																									
OUA	DFFD	OUAGADOUGOU	Ouagadougou	BFA	Burkina Faso	1																																																																																																																																																																																																																																																									
BJM	HBBA	BUJUMBURA INTL	Bujumbura	BDI	Burundi	1																																																																																																																																																																																																																																																									
BBM	VDBG	BATTAMBANG	Battambang	KHM	Cambodia	1																																																																																																																																																																																																																																																									
PNH	VDPP	PHNOM PENH INTL	Phnom Penh	KHM	Cambodia	1																																																																																																																																																																																																																																																									
RBE	VDRK	RATANAKIRI	Ratanakiri	KHM	Cambodia	1																																																																																																																																																																																																																																																									
REP	VDSR	SIEM REAP INTL	Siem Reap	KHM	Cambodia	1																																																																																																																																																																																																																																																									
KOS	VDSV	SIHANOUK INTL	Sihanoukville	KHM	Cambodia	1																																																																																																																																																																																																																																																									
TNX	VDST	STUNG TRENG	Stung Treng	KHM	Cambodia	1																																																																																																																																																																																																																																																									
BFX	FKKU	BAFOUSSAM	Bafoussam	CMR	Cameroon	1																																																																																																																																																																																																																																																									
BPC	FKKV	BAMENDA	Bamenda	CMR	Cameroon	1																																																																																																																																																																																																																																																									
BTA	FKKO	BERTOUA	Bertoua	CMR	Cameroon	1																																																																																																																																																																																																																																																									
DLA	FKKD	DOUALA	Douala	CMR	Cameroon	1																																																																																																																																																																																																																																																									
GOU	FKKR	GAROUA	Garoua	CMR	Cameroon	1																																																																																																																																																																																																																																																									
MVR	FKKL	SALAK	Maroua	CMR	Cameroon	1																																																																																																																																																																																																																																																									
NGE	FKKN	NGAOUNDERE	Ngaoundere	CMR	Cameroon	1																																																																																																																																																																																																																																																									
YAO	FKKY	YAOUNDE	Yaounde	CMR	Cameroon	1																																																																																																																																																																																																																																																									
NSI	FKYS	YAOUNDE NSIMALEN	Yaounde	CMR	Cameroon	1																																																																																																																																																																																																																																																									
YXX	CYXX	ABBOTSFORD	Abbotsford	CAN	Canada	2																																																																																																																																																																																																																																																									
LAK	CYKD	AKLAVIK FREDDIE CARMICHAEL	Aklavik	CAN	Canada	1																																																																																																																																																																																																																																																									
AKV	CYKO	AKULIVIK	Akulivik	CAN	Canada	1																																																																																																																																																																																																																																																									
YTF	CYTF	ALMA	Alma	CAN	Canada	1																																																																																																																																																																																																																																																									
YAA		ANAHIM LAKE	Anahim Lake	CAN	Canada	1																																																																																																																																																																																																																																																									
YUX	CYUX	HALL BEACH	Arctic Bay	CAN	Canada	1																																																																																																																																																																																																																																																									
YAB	CYAB	ARTIC BAY	Artic Bay	CAN	Canada	1																																																																																																																																																																																																																																																									
YEK	CYEK	ARVIAT	Arviat	CAN	Canada	1																																																																																																																																																																																																																																																									
YAT	CYAT	ATTAWAPISKAT	Attawapiskat	CAN	Canada	1																																																																																																																																																																																																																																																									
YPJ	CYLA	AUPALUK	Aupaluk	CAN	Canada	1																																																																																																																																																																																																																																																									
YBG	CYBG	BAGOTVILLE	Bagotville	CAN	Canada	2																																																																																																																																																																																																																																																									
YBC	CYBC	BAIE COMEAU	Baie Comeau	CAN	Canada	1																																																																																																																																																																																																																																																									
YBK	CYBK	BAKER LAKE	Baker Lake	CAN	Canada	1																																																																																																																																																																																																																																																									
ZBF	CZBF	BATHURST	Bathurst (CA)	CAN	Canada	3																																																																																																																																																																																																																																																									
XBE		BEARSKIN LAKE	Bearskin Lake	CAN	Canada	1																																																																																																																																																																																																																																																									
YBW		BEDWELL HARBOUR SEAPLANE	Bedwell Harbour	CAN	Canada	0																																																																																																																																																																																																																																																									
ZEL		BELLA BELLA (CAMPBELL ISLAND)	Bella Bella	CAN	Canada	1																																																																																																																																																																																																																																																									
QBC	CYBD	BELLA COOLA	Bella Coola	CAN	Canada	1																																																																																																																																																																																																																																																									
YBV	CYBV	BERENS RIVER	Berens River First Nation	CAN	Canada	1																																																																																																																																																																																																																																																									
YIG		BIG BAY SEAPLANE	Big Bay	CAN	Canada	0																																																																																																																																																																																																																																																									
YBI		BLACK TICKLE	Black Tickle	CAN	Canada	1																																																																																																																																																																																																																																																									
YBX	CYBX	LOURDES DE BLANC SABLON	Blanc Sablon	CAN	Canada	1																																																																																																																																																																																																																																																									
YVB	CYVB	BONAVENTURE	Bonaventure	CAN	Canada	1																																																																																																																																																																																																																																																									
YBR	CYBR	BRANDON MUNI	Brandon	CAN	Canada	2																																																																																																																																																																																																																																																									
YBT	CYBT	BROCHET	Brochet	CAN	Canada	1																																																																																																																																																																																																																																																									
YVT	CYVT	BUFFALO NARROWS	Buffalo Narrows	CAN	Canada	2																																																																																																																																																																																																																																																									
YYC	CYYC	YYC CALGARY INTL	Calgary	CAN	Canada	3																																																																																																																																																																																																																																																									
YCB	CYCB	CAMBRIDGE BAY	Cambridge Bay	CAN	Canada	1																																																																																																																																																																																																																																																									
YBL	CYBL	CAMPBELL RIVER	Campbell River	CAN	Canada	1																																																																																																																																																																																																																																																									
YHH		CAMPBELL RIVER HARBOUR SEAPLANE	Campbell River	CAN	Canada	0																																																																																																																																																																																																																																																									
YTE	CYTE	CAPE DORSET	Cape Dorset	CAN	Canada	1																																																																																																																																																																																																																																																									
YRF	CYCA	CARTWRIGHT	Cartwright	CAN	Canada	1																																																																																																																																																																																																																																																									
YCG	CYCG	CASTLEGAR WEST KOOTENAY RGNL	Castlegar	CAN	Canada	1																																																																																																																																																																																																																																																									
YAC	CYAC	CAT LAKE	Cat Lake First Nation	CAN	Canada	1																																																																																																																																																																																																																																																									
YCL	CYCL	CHARLO	Charlo	CAN	Canada	1																																																																																																																																																																																																																																																									
YHG		CHARLOTTETOWN	Charlottetown (NL, CA)	CAN	Canada	1																																																																																																																																																																																																																																																									
YYG	CYYG	CHARLOTTETOWN	Charlottetown (PE, CA)	CAN	Canada	2																																																																																																																																																																																																																																																									
