IATA Code	ICAO Code	Airport Name	City Name	Country Code	Country Name	Number of Runways																																																																																																																																																																																																																																																									
NOV	FNHU	HUAMBO	Kuito	AGO	Angola	1																																																																																																																																																																																																																																																									
SVP	FNKU	KUITO	Kuito	AGO	Angola	1																																																																																																																																																																																																																																																									
LAD	FNLU	QUATRO DE FEVEREIRO INTL	Luanda	AGO	Angola	2																																																																																																																																																																																																																																																									
SDD	FNUB	LUBANGO	Lubango	AGO	Angola	1																																																																																																																																																																																																																																																									
LUO	FNUE	LUENA	Luena	AGO	Angola	1																																																																																																																																																																																																																																																									
MEG	FNMA	MALANJE	Malanje	AGO	Angola	1																																																																																																																																																																																																																																																									
SSY	FNBC	M BANZA CONGO	M'banza Congo	AGO	Angola	1																																																																																																																																																																																																																																																									
SPP	FNME	MENONGUE	Menongue	AGO	Angola	1																																																																																																																																																																																																																																																									
MSZ	FNMO	NAMIBE	Namibe	AGO	Angola	1																																																																																																																																																																																																																																																									
GXG	FNNG	NEGAGE	Negage	AGO	Angola	2																																																																																																																																																																																																																																																									
VPE	FNGI	ONDJIVA	Ondjiva	AGO	Angola	1																																																																																																																																																																																																																																																									
VHC	FNSA	SAURIMO	Saurimo	AGO	Angola	1																																																																																																																																																																																																																																																									
SZA	FNSO	SOYO	Soyo	AGO	Angola	1																																																																																																																																																																																																																																																									
BBQ	TAPH	BARBUDA CODRINGTON	Codrington	ATG	Antigua and Barbuda	1																																																																																																																																																																																																																																																									
ANU	TAPA	V C BIRD INTL	St John's	ATG	Antigua and Barbuda	1																																																																																																																																																																																																																																																									
ARR	SAVR	ALTO RIO SENGUER	Alto Rio Senguer	ARG	Argentina	1																																																																																																																																																																																																																																																									
BHI	SAZB	COMANDANTE ESPORA	Bahia Blanca	ARG	Argentina	3																																																																																																																																																																																																																																																									
AEP	SABE	AEROPARQUE JORGE NEWBERY	Buenos Aires (AR)	ARG	Argentina	1																																																																																																																																																																																																																																																									
EZE	SAEZ	MINISTRO PISTARINI	Buenos Aires (AR)	ARG	Argentina	2																																																																																																																																																																																																																																																									
CTC	SANC	CATAMARCA	Catamarca	ARG	Argentina	1																																																																																																																																																																																																																																																									
CRD	SAVC	COMODORO RIVADAVIA	Comodoro Rivadavia	ARG	Argentina	1																																																																																																																																																																																																																																																									
COC	SAAC	COMODORO PIERRESTEGUI	Concordia	ARG	Argentina	1																																																																																																																																																																																																																																																									
COR	SACO	AMBROSIO L V TARAVELLA	Cordoba (AR)	ARG	Argentina	2																																																																																																																																																																																																																																																									
CNQ	SARC	CORRIENTES	Corrientes	ARG	Argentina	1																																																																																																																																																																																																																																																									
EHL	SAVB	EL BOLSON	El Boson	ARG	Argentina	1																																																																																																																																																																																																																																																									
FTE	SAWC	EL CALAFATE	El Calafate	ARG	Argentina	1																																																																																																																																																																																																																																																									
EMX	SAVD	EL MAITEN	El Maiten	ARG	Argentina	3																																																																																																																																																																																																																																																									
EPA	SADP	EL PALOMAR	El Palomar	ARG	Argentina	1																																																																																																																																																																																																																																																									
EQS	SAVE	ESQUEL	Esquel	ARG	Argentina	2																																																																																																																																																																																																																																																									
FMA	SARF	FORMOSA	Formosa	ARG	Argentina	1																																																																																																																																																																																																																																																									
GGS	SAWR	GOBERNADOR GREGORES	Gobernador Gregores	ARG	Argentina	1																																																																																																																																																																																																																																																									
OYA	SATG	GOYA	Goya	ARG	Argentina	1																																																																																																																																																																																																																																																									
IGR	SARI	CATARATAS DEL IGUAZU	Iguazu	ARG	Argentina	1																																																																																																																																																																																																																																																									
JSM	SAWS	JOSE DE SAN MARTIN	Jose de San Martin	ARG	Argentina	2																																																																																																																																																																																																																																																									
JUJ	SASJ	JUJUY	Jujuy	ARG	Argentina	1																																																																																																																																																																																																																																																									
IRJ	SANL	LA RIOJA	La Rioja	ARG	Argentina	1																																																																																																																																																																																																																																																									
ING	SAWA	LAGO ARGENTINO	Lago Argentino	ARG	Argentina	1																																																																																																																																																																																																																																																									
LGS	SAMM	MALARGUE	Malargue	ARG	Argentina	2																																																																																																																																																																																																																																																									
MDQ	SAZM	MAR DEL PLATA	Mar del Plata	ARG	Argentina	1																																																																																																																																																																																																																																																									
MDZ	SAME	EL PLUMERILLO	Mendoza	ARG	Argentina	1																																																																																																																																																																																																																																																									
MJR	0MJR	MIRAMAR	Miramar	ARG	Argentina	2																																																																																																																																																																																																																																																									
NEC	SAZO	NECOCHEA	Necochea	ARG	Argentina	3																																																																																																																																																																																																																																																									
NQN	SAZN	PRESIDENTE PERON	Neuquen	ARG	Argentina	1																																																																																																																																																																																																																																																									
PRA	SAAP	GENERAL URQUIZA	Parana	ARG	Argentina	1																																																																																																																																																																																																																																																									
PMQ	SAWP	PERITO MORENO	Perito Moreno	ARG	Argentina	1																																																																																																																																																																																																																																																									
